Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2019,201909,Exports,United Kingdom,Qatar,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,79815
2019,201909,Exports,United Kingdom,Netherlands,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1019918
2019,201909,Exports,United Kingdom,South Africa,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,15878
2019,201909,Exports,United Kingdom,Spain,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,91983
2019,201909,Exports,United Kingdom,Malta,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,5504
2019,201909,Exports,United Kingdom,Cyprus,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,2344
2019,201909,Exports,United Kingdom,Hungary,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,51
2019,201909,Exports,United Kingdom,Sweden,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,812
2019,201909,Exports,United Kingdom,Germany,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1773387
2019,201909,Exports,United Kingdom,Slovenia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,74
2019,201909,Exports,United Kingdom,Finland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,16
2019,201909,Exports,United Kingdom,Portugal,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,5989
2019,201909,Exports,United Kingdom,Poland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,146246
2019,201909,Exports,United Kingdom,Italy,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,4098
2019,201909,Exports,United Kingdom,Viet Nam,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,8477
2019,201909,Exports,United Kingdom,Oman,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,50945
2019,201909,Exports,United Kingdom,Bermuda,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1671
2019,201909,Exports,United Kingdom,Jordan,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,11530
2019,201909,Exports,United Kingdom,Iceland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1035
2019,201909,Exports,United Kingdom,Kuwait,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1354
2019,201909,Exports,United Kingdom,China,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,181323
2019,201909,Exports,United Kingdom,Falkland Isds (Malvinas),Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,5828
2019,201909,Exports,United Kingdom,Greece,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,601
2019,201909,Exports,United Kingdom,Sri Lanka,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,9703
2019,201909,Exports,United Kingdom,Singapore,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,71342
2019,201909,Exports,United Kingdom,Romania,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3548
2019,201909,Exports,United Kingdom,United Arab Emirates,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,131995
2019,201909,Exports,United Kingdom,Luxembourg,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,5
2019,201909,Exports,United Kingdom,Saudi Arabia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,18634
2019,201909,Exports,United Kingdom,Saint Helena,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1166
2019,201909,Exports,United Kingdom,Japan,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,16066
2019,201909,Exports,United Kingdom,Latvia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,34324
2019,201909,Exports,United Kingdom,Rep. of Korea,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,12958
2019,201903,Exports,United Kingdom,Cyprus,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,107
2019,201909,Exports,United Kingdom,Ireland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,22324703
2019,201903,Exports,United Kingdom,Ireland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,33275872
2019,201907,Exports,United Kingdom,Netherlands,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,293672
2019,201902,Exports,United Kingdom,Romania,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,4
2019,201902,Exports,United Kingdom,Belgium,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1377127
2019,201902,Exports,United Kingdom,South Africa,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,16134
2019,201902,Exports,United Kingdom,Denmark,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,464
2019,201902,Exports,United Kingdom,Brunei Darussalam,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3088
2019,201902,Exports,United Kingdom,Sri Lanka,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,11683
2019,201902,Exports,United Kingdom,Greece,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,11390
2019,201902,Exports,United Kingdom,United Arab Emirates,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,55764
2019,201902,Exports,United Kingdom,Qatar,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,53072
2019,201902,Exports,United Kingdom,Poland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,933
2019,201902,Exports,United Kingdom,Bahrain,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,8563
2019,201902,Exports,United Kingdom,Malta,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,32859
2019,201902,Exports,United Kingdom,Czech Rep.,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,8455
2019,201902,Exports,United Kingdom,Guyana,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,83804
2019,201902,Exports,United Kingdom,China,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1029217
2019,201902,Exports,United Kingdom,Estonia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3
2019,201902,Exports,United Kingdom,Germany,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,165913
2019,201902,Exports,United Kingdom,Saudi Arabia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,4480
2019,201902,Exports,United Kingdom,Netherlands,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1344438
2019,201902,Exports,United Kingdom,Italy,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3991
2019,201902,Exports,United Kingdom,Falkland Isds (Malvinas),Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,17967
2019,201902,Exports,United Kingdom,Latvia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,24941
2019,201902,Exports,United Kingdom,Finland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,23
2019,201902,Exports,United Kingdom,Sweden,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,191
2019,201902,Exports,United Kingdom,Cyprus,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,5535
2019,201902,Exports,United Kingdom,"China, Hong Kong SAR",Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,472672
2019,201902,Exports,United Kingdom,Canada,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,86489
2019,201902,Exports,United Kingdom,Singapore,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,28573
2019,201902,Exports,United Kingdom,Iceland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1089
2019,201902,Exports,United Kingdom,Oman,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,2074
2019,201902,Exports,United Kingdom,Spain,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,112213
2019,201907,Exports,United Kingdom,Br. Virgin Isds,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,8449
2019,201902,Exports,United Kingdom,Lithuania,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,16
2019,201902,Exports,United Kingdom,Luxembourg,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,12
2019,201902,Exports,United Kingdom,Austria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1173
2019,201907,Imports,United Kingdom,France,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1092307
2019,201903,Exports,United Kingdom,Bahrain,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1220
2019,201903,Imports,United Kingdom,France,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1456773
2019,201907,Exports,United Kingdom,Germany,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3387072
2019,201909,Exports,United Kingdom,France,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3108867
2019,201909,Exports,United Kingdom,United States of America,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,190338
2019,201903,Exports,United Kingdom,Bermuda,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1663
2019,201903,Exports,United Kingdom,France,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,6591965
2019,201901,Imports,United Kingdom,France,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,884972
2019,201903,Exports,United Kingdom,Br. Virgin Isds,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,12362
2019,201903,Exports,United Kingdom,Brunei Darussalam,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3598
2019,201903,Exports,United Kingdom,Luxembourg,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,12
2019,201903,Imports,United Kingdom,Austria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,42172
2019,201907,Exports,United Kingdom,Ireland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,24937539
2019,201907,Exports,United Kingdom,Sri Lanka,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,11874
2019,201903,Imports,United Kingdom,Czech Rep.,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,48752
2019,201911,Imports,United Kingdom,Bulgaria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,59599
2019,201911,Imports,United Kingdom,Hungary,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,94
2019,201911,Imports,United Kingdom,Poland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,669538
2019,201911,Imports,United Kingdom,Belgium,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,336970
2019,201911,Imports,United Kingdom,Denmark,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3480
2019,201911,Imports,United Kingdom,Romania,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,58689
2019,201911,Imports,United Kingdom,Spain,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,350435
2019,201911,Imports,United Kingdom,Germany,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,613499
2019,201911,Imports,United Kingdom,Lithuania,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,8801
2019,201911,Imports,United Kingdom,Austria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,38975
2019,201911,Imports,United Kingdom,Sweden,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,139711
2019,201911,Imports,United Kingdom,Slovakia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,23764
2019,201911,Imports,United Kingdom,Portugal,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,7449
2019,201911,Imports,United Kingdom,Ireland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,8280830
2019,201911,Imports,United Kingdom,Italy,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,14086
2019,201911,Imports,United Kingdom,Czech Rep.,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,19
2019,201911,Imports,United Kingdom,Netherlands,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,339370
2019,201907,Exports,United Kingdom,China,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1755725
2019,201903,Exports,United Kingdom,Sri Lanka,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,12443
2019,201903,Exports,United Kingdom,Qatar,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,66888
2019,201910,Imports,United Kingdom,Slovakia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,24091
2019,201910,Imports,United Kingdom,Spain,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,358750
2019,201910,Imports,United Kingdom,Poland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,568614
2019,201910,Imports,United Kingdom,Italy,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,20027
2019,201910,Imports,United Kingdom,Czech Rep.,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,41326
2019,201910,Imports,United Kingdom,Sweden,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,105321
2019,201910,Imports,United Kingdom,Lithuania,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,12217
2019,201910,Imports,United Kingdom,Portugal,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3723
2019,201910,Imports,United Kingdom,Germany,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,467674
2019,201910,Imports,United Kingdom,Romania,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,75124
2019,201910,Imports,United Kingdom,Hungary,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1625
2019,201910,Imports,United Kingdom,Greece,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3845
2019,201910,Imports,United Kingdom,Bulgaria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,316554
2019,201910,Imports,United Kingdom,Ireland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,17238678
2019,201910,Imports,United Kingdom,Belgium,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,478406
2019,201910,Imports,United Kingdom,Netherlands,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,524673
2019,201910,Imports,United Kingdom,Denmark,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,2381
2019,201908,Exports,United Kingdom,Romania,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,2859
2019,201908,Exports,United Kingdom,Cyprus,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,12436
2019,201908,Exports,United Kingdom,Hungary,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,32
2019,201908,Exports,United Kingdom,Netherlands,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,458531
2019,201908,Exports,United Kingdom,Brunei Darussalam,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1573
2019,201908,Exports,United Kingdom,Australia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,12032
2019,201908,Exports,United Kingdom,Latvia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,10873
2019,201908,Exports,United Kingdom,South Africa,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,18891
2019,201908,Exports,United Kingdom,Saudi Arabia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1151
2019,201908,Exports,United Kingdom,Luxembourg,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,24
2019,201908,Exports,United Kingdom,United Arab Emirates,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,68006
2019,201908,Exports,United Kingdom,Slovenia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,41
2019,201908,Exports,United Kingdom,Malta,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,22452
2019,201908,Exports,United Kingdom,Greece,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,5
2019,201908,Exports,United Kingdom,Sweden,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,166
2019,201908,Exports,United Kingdom,Singapore,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,23427
2019,201908,Exports,United Kingdom,Ireland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,21821427
2019,201908,Exports,United Kingdom,China,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,267446
2019,201908,Exports,United Kingdom,Sri Lanka,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,16063
2019,201908,Exports,United Kingdom,Austria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,923
2019,201908,Exports,United Kingdom,Malaysia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,5178
2019,201908,Exports,United Kingdom,Belgium,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,968488
2019,201908,Exports,United Kingdom,Guyana,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,73991
2019,201908,Exports,United Kingdom,"China, Hong Kong SAR",Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,319228
2019,201908,Exports,United Kingdom,Viet Nam,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,14462
2019,201908,Exports,United Kingdom,Finland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,15
2019,201908,Exports,United Kingdom,Spain,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,89733
2019,201908,Exports,United Kingdom,Iceland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1017
2019,201908,Exports,United Kingdom,Portugal,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,7068
2019,201908,Exports,United Kingdom,Poland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,526
2019,201908,Exports,United Kingdom,Philippines,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1402
2019,201908,Exports,United Kingdom,Italy,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,470
2019,201908,Exports,United Kingdom,Slovakia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,15
2019,201908,Exports,United Kingdom,Falkland Isds (Malvinas),Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,13237
2019,201908,Exports,United Kingdom,Qatar,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,35974
2019,201908,Exports,United Kingdom,Denmark,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,378424
2019,201908,Exports,United Kingdom,Oman,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3536
2019,201907,Exports,United Kingdom,Luxembourg,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,2
2019,201907,Exports,United Kingdom,Slovakia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,6
2019,201907,Exports,United Kingdom,Bulgaria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,46
2019,201907,Exports,United Kingdom,Cyprus,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,216
2019,201912,Exports,United Kingdom,Ireland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,23341366
2019,201912,Imports,United Kingdom,France,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1252211
2019,201903,Imports,United Kingdom,Spain,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,367646
2019,201903,Imports,United Kingdom,Italy,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,14820
2019,201910,Exports,United Kingdom,Ireland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,22822503
2019,201906,Exports,United Kingdom,Czech Rep.,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,10071
2019,201907,Exports,United Kingdom,Czech Rep.,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,8138
2019,201910,Exports,United Kingdom,France,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,2860357
2019,201910,Exports,United Kingdom,"Other Asia, nes",Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3394
2019,201910,Exports,United Kingdom,Switzerland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,9187
2019,201910,Exports,United Kingdom,United States of America,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,87228
2019,201908,Imports,United Kingdom,France,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1000069
2019,201907,Exports,United Kingdom,Falkland Isds (Malvinas),Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,8094
2019,201912,Exports,United Kingdom,Switzerland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,3963
2019,201912,Exports,United Kingdom,France,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,2220779
2019,201912,Exports,United Kingdom,United States of America,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,241384
2019,201908,Imports,United Kingdom,Luxembourg,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,4020
2019,201908,Imports,United Kingdom,Denmark,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,49007
2019,201908,Imports,United Kingdom,Ireland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,11620455
2019,201908,Imports,United Kingdom,Italy,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,14966
2019,201908,Imports,United Kingdom,Netherlands,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,363205
2019,201908,Imports,United Kingdom,Sweden,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,106090
2019,201908,Imports,United Kingdom,Romania,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,47729
2019,201908,Imports,United Kingdom,Slovakia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,24138
2019,201908,Imports,United Kingdom,Poland,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,474997
2019,201908,Imports,United Kingdom,Czech Rep.,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,58
2019,201908,Imports,United Kingdom,Spain,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,354554
2019,201908,Imports,United Kingdom,Germany,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,293807
2019,201908,Imports,United Kingdom,Portugal,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,11546
2019,201908,Imports,United Kingdom,Austria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,76827
2019,201908,Imports,United Kingdom,Belgium,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,375736
2019,201907,Imports,United Kingdom,Austria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,20113
2019,201908,Imports,United Kingdom,Hungary,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1092
2019,201908,Imports,United Kingdom,Lithuania,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,10611
2019,201908,Imports,United Kingdom,Bulgaria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,248370
2019,201903,Exports,United Kingdom,Malaysia,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,5796
2019,201903,Exports,United Kingdom,Hungary,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,1709
2019,201904,Imports,United Kingdom,Sweden,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,110391
2019,201904,Imports,United Kingdom,Denmark,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,2031370
2019,201904,Imports,United Kingdom,Hungary,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,189
2019,201904,Imports,United Kingdom,Germany,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,455633
2019,201904,Imports,United Kingdom,Austria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,69070
2019,201904,Imports,United Kingdom,Czech Rep.,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,17
2019,201904,Imports,United Kingdom,Bulgaria,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,97690
2019,201904,Imports,United Kingdom,Romania,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,67797
2019,201904,Imports,United Kingdom,Italy,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,17955
2019,201904,Imports,United Kingdom,Belgium,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,328664
2019,201904,Imports,United Kingdom,Netherlands,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0401,240495
